"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"8","","0","","0","0","","0"
"1","","0","더치페이","0","0","더치페이 2명 (현금 → 카드) → 환불","0"
"1","","0","쿠폰 결제","0","0","쿠폰 현금 결제 → 환불","0"
"1","","0","쿠폰 결제","0","0","쿠폰 카드 결제 → 환불","0"
"1","","0","현금영수증","0","0","현금 결제 → 개인 현금영수증 발급 → 환불 (영수증 취소)","0"
"1","","0","현금영수증","0","0","현금 결제 → 사업자 현금영수증 발급 → 환불 (영수증 취소)","0"
"1","","0","단위 상품 결제","0","0","단위 카드 결제 → 환불","0"
"1","","0","시가 상품 결제","0","0","시가 카드 결제 → 환불","0"
"1","","0","단위 상품 결제","0","0","단위 현금 결제 → 환불","0"
"1","","0","포인트 결제","0","0","포인트 카드 결제 → 환불","0"
"1","","0","포인트 결제","0","0","포인트 현금 결제 → 환불","0"
"1","","0","시가 상품 결제","0","0","시가 현금 결제 → 환불","0"
"1","","0","분할 결제","0","0","분할 결제 (현금 → 카드) → 환불","0"
